,SAMPLE_ID,labels_v1,Predicted
0,Sample_0012,0,1
1,Sample_0016,1,0
2,Sample_0019,1,1
3,Sample_0023,0,0
4,Sample_0024,0,1
5,Sample_0026,1,1
6,Sample_0027,0,1
7,Sample_0035,1,1
8,Sample_0044,1,0
9,Sample_0045,1,0
10,Sample_0062,1,1
11,Sample_0089,0,0
12,Sample_0092,1,0
13,Sample_0106,1,1
14,Sample_0107,0,0
15,Sample_0111,0,0
16,Sample_0118,1,1
17,Sample_0119,1,0
18,Sample_0120,0,0
19,Sample_0122,1,1
20,Sample_0123,0,0
21,Sample_0128,1,1
22,Sample_0133,0,0
23,Sample_0134,0,1
24,Sample_0136,0,0
25,Sample_0140,0,1
26,Sample_0143,0,0
27,Sample_0151,0,1
28,Sample_0153,0,0
29,Sample_0155,0,0
30,Sample_0171,0,1
31,Sample_0172,0,0
32,Sample_0173,0,0
33,Sample_0174,1,0
34,Sample_0178,0,0
35,Sample_0179,1,1
36,Sample_0182,1,0
37,Sample_0183,1,1
38,Sample_0184,0,0
39,Sample_0188,1,0
40,Sample_0192,1,1
41,Sample_0195,1,1
42,Sample_0196,1,1
43,Sample_0197,1,1
44,Sample_0198,1,1
45,Sample_0199,0,1
46,Sample_0205,0,0
47,Sample_0214,1,1
48,Sample_0216,1,1
49,Sample_0221,1,1
50,Sample_0222,1,1
51,Sample_0225,1,1
52,Sample_0228,1,1
53,Sample_0229,1,1
54,Sample_0230,1,1
55,Sample_0233,1,1
56,Sample_0243,1,1
57,Sample_0245,1,1
58,Sample_0247,1,1
