,SAMPLE_ID,improved_label
0,Sample_0003,1
1,Sample_0004,1
2,Sample_0006,0
3,Sample_0007,1
4,Sample_0009,1
5,Sample_0011,0
6,Sample_0012,1
7,Sample_0013,1
8,Sample_0014,1
9,Sample_0015,1
10,Sample_0016,1
11,Sample_0017,1
12,Sample_0018,1
13,Sample_0019,1
14,Sample_0020,1
15,Sample_0022,1
16,Sample_0023,1
17,Sample_0024,1
18,Sample_0025,1
19,Sample_0026,0
20,Sample_0027,1
21,Sample_0031,1
22,Sample_0032,1
23,Sample_0033,0
24,Sample_0034,1
25,Sample_0035,1
26,Sample_0037,1
27,Sample_0038,1
28,Sample_0039,1
29,Sample_0040,0
30,Sample_0044,1
31,Sample_0045,0
32,Sample_0047,1
33,Sample_0052,1
34,Sample_0053,0
35,Sample_0054,1
36,Sample_0057,1
37,Sample_0062,1
38,Sample_0066,0
39,Sample_0074,1
40,Sample_0083,1
41,Sample_0085,1
42,Sample_0086,1
43,Sample_0087,1
44,Sample_0088,1
45,Sample_0089,1
46,Sample_0090,0
47,Sample_0091,1
48,Sample_0092,1
49,Sample_0093,0
50,Sample_0094,1
51,Sample_0095,0
52,Sample_0097,1
53,Sample_0099,1
54,Sample_0100,1
55,Sample_0101,1
56,Sample_0103,0
57,Sample_0105,1
58,Sample_0106,1
59,Sample_0107,1
60,Sample_0108,1
61,Sample_0109,1
62,Sample_0110,0
63,Sample_0111,0
64,Sample_0112,1
65,Sample_0115,1
66,Sample_0116,1
67,Sample_0117,1
68,Sample_0118,1
69,Sample_0119,1
70,Sample_0120,0
71,Sample_0122,0
72,Sample_0123,1
73,Sample_0124,1
74,Sample_0125,0
75,Sample_0126,1
76,Sample_0128,1
77,Sample_0131,1
78,Sample_0133,0
79,Sample_0134,1
80,Sample_0214,1
81,Sample_0215,1
82,Sample_0216,1
83,Sample_0217,1
84,Sample_0218,1
85,Sample_0219,1
86,Sample_0220,1
87,Sample_0221,1
88,Sample_0222,1
89,Sample_0223,1
90,Sample_0224,1
91,Sample_0225,0
92,Sample_0226,0
93,Sample_0227,1
94,Sample_0228,1
95,Sample_0229,0
96,Sample_0230,1
97,Sample_0231,1
98,Sample_0232,1
99,Sample_0233,1
100,Sample_0234,1
101,Sample_0235,1
102,Sample_0236,0
103,Sample_0237,0
104,Sample_0238,1
105,Sample_0239,0
106,Sample_0240,1
107,Sample_0241,1
108,Sample_0242,1
109,Sample_0243,1
110,Sample_0244,1
111,Sample_0245,1
112,Sample_0246,1
113,Sample_0247,0
114,Sample_0248,1
115,Sample_0249,1
116,Sample_0250,0
117,Sample_0251,1
118,Sample_0252,1
119,Sample_0253,1
120,Sample_0254,1
121,Sample_0255,0
